 ##ID  ETA_SEQ     ETA_VAL         ETA_SE          OMEGA_SD     ETA_SE/OMEGA_SD
    1    1       -0.268032        0.026843        0.132270        0.026843
    2    1        0.001468        0.031816        0.132270        0.031816
    3    1        0.037438        0.030895        0.132270        0.030895
    4    1       -0.054323        0.032448        0.132270        0.032448
    5    1        0.054231        0.029231        0.132270        0.029231
    6    1        0.115132        0.039830        0.132270        0.039830
    7    1        0.120379        0.038092        0.132270        0.038092
    8    1        0.082209        0.035638        0.132270        0.035638
    9    1       -0.179943        0.030368        0.132270        0.030368
   10    1       -0.069083        0.031355        0.132270        0.031355
   11    1        0.209590        0.032338        0.132270        0.032338
   12    1       -0.049201        0.030856        0.132270        0.030856
     -0.00001123  !etamean
      0.12817375  !eta_std_dev
      0.03700057  !eta_mean_std_err
      0.00030344  !|etamean|/eta_mean_std_err
      0.03097168  !shrinkage = 1 - eta_std_dev/omegasd
    1    2       -0.578594        0.053928        0.254023        0.053928
    2    2        0.043047        0.058574        0.254023        0.058574
    3    2        0.033750        0.058561        0.254023        0.058561
    4    2       -0.092370        0.057522        0.254023        0.057522
    5    2        0.096710        0.050278        0.254023        0.050278
    6    2        0.222784        0.069416        0.254023        0.069416
    7    2        0.228096        0.061698        0.254023        0.061698
    8    2        0.153682        0.061601        0.254023        0.061601
    9    2       -0.276077        0.064622        0.254023        0.064622
   10    2       -0.165582        0.050499        0.254023        0.050499
   11    2        0.382485        0.061599        0.254023        0.061599
   12    2       -0.048199        0.051060        0.254023        0.051060
     -0.00002239  !etamean
      0.24718084  !eta_std_dev
      0.07135496  !eta_mean_std_err
      0.00031385  !|etamean|/eta_mean_std_err
      0.02693586  !shrinkage = 1 - eta_std_dev/omegasd
    1    3        0.029029        0.121061        0.844111        0.121061
    2    3        0.384005        0.141887        0.844111        0.141887
    3    3        0.558623        0.154498        0.844111        0.154498
    4    3       -0.382869        0.118129        0.844111        0.118129
    5    3       -0.130399        0.105527        0.844111        0.105527
    6    3       -0.402419        0.162476        0.844111        0.162476
    7    3       -0.992540        0.130998        0.844111        0.130998
    8    3       -0.263886        0.139753        0.844111        0.139753
    9    3        1.845261        0.300439        0.844111        0.300439
   10    3       -1.093911        0.092126        0.844111        0.092126
   11    3        1.193990        0.176219        0.844111        0.176219
   12    3       -0.628331        0.106705        0.844111        0.106705
      0.00971272  !etamean
      0.82973768  !eta_std_dev
      0.23952464  !eta_mean_std_err
      0.04054999  !|etamean|/eta_mean_std_err
      0.01702726  !shrinkage = 1 - eta_std_dev/omegasd
