"", "", "", "", "1", "nV", -0.565146 
"", "", "", "", "1", "nCl", -0.415961 
"", "", "", "", "2", "nV", 0.0390839 
"", "", "", "", "2", "nCl", 0.339415 
"", "", "", "", "3", "nV", 0.320131 
"", "", "", "", "3", "nCl", -0.177123 
"", "", "", "", "4", "nV", 0.606093 
"", "", "", "", "4", "nCl", -0.214317 
"", "", "", "", "5", "nV", 0.391736 
"", "", "", "", "5", "nCl", 0.148504 
"", "", "", "", "6", "nV", -0.0128164 
"", "", "", "", "6", "nCl", -0.645935 
"", "", "", "", "7", "nV", -0.0626513 
"", "", "", "", "7", "nCl", -0.0865514 
"", "", "", "", "8", "nV", -0.331556 
"", "", "", "", "8", "nCl", 0.046425 
"", "", "", "", "9", "nV", -0.262548 
"", "", "", "", "9", "nCl", -0.400952 
"", "", "", "", "10", "nV", 0.240582 
"", "", "", "", "10", "nCl", 0.279062 
"", "", "", "", "11", "nV", -0.127295 
"", "", "", "", "11", "nCl", -0.386437 
"", "", "", "", "12", "nV", 0.426032 
"", "", "", "", "12", "nCl", -0.00749917 
"", "", "", "", "13", "nV", -0.428751 
"", "", "", "", "13", "nCl", -0.280106 
"", "", "", "", "14", "nV", -0.0746607 
"", "", "", "", "14", "nCl", -0.346951 
"", "", "", "", "15", "nV", -0.17118 
"", "", "", "", "15", "nCl", 0.607594 
"", "", "", "", "16", "nV", -0.0560355 
"", "", "", "", "16", "nCl", 0.0429764 
"", "", "", "", "17", "nV", 0.238057 
"", "", "", "", "17", "nCl", 0.320142 
"", "", "", "", "18", "nV", -0.134082 
"", "", "", "", "18", "nCl", -0.169229 
"", "", "", "", "19", "nV", 0.124949 
"", "", "", "", "19", "nCl", -0.410686 
"", "", "", "", "20", "nV", 0.250655 
"", "", "", "", "20", "nCl", 0.257578 
"", "", "", "", "21", "nV", -0.278547 
"", "", "", "", "21", "nCl", -0.244025 
"", "", "", "", "22", "nV", 0.354148 
"", "", "", "", "22", "nCl", 0.514199 
"", "", "", "", "23", "nV", -0.0549927 
"", "", "", "", "23", "nCl", -0.16931 
"", "", "", "", "24", "nV", 0.312201 
"", "", "", "", "24", "nCl", 0.331249 
